part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
valve_ex_6_2,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_7_1,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_7_2,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_8_1,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_8_2,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_in_1_1,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_1_2,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_2_1,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_2_2,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_3_1,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_3_2,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_4_1,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_4_2,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_5_1,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_5_2,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_6_1,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_6_2,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_7_1,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_7_2,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_8_1,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_in_8_2,03 Heads and Valvetrain,titanium,1,34.0,81.3,63.4
valve_spring_1_0,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_1_1,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_1_2,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_1_3,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_2_0,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_2_1,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_2_2,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_2_3,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_3_0,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_3_1,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_3_2,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_3_3,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_4_0,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_4_1,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_4_2,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_4_3,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_5_0,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_5_1,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
valve_spring_5_2,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_5_3,03 Heads and Valvetrain,spring_steel,2,22.6,52.7,63.6
valve_spring_6_0,03 Heads and Valvetrain,spring_steel,2,22.6,63.5,52.7
